review_text,label
"Love this!  Well made, sturdy, and very comfortable.  I love it!Very pretty",CG
"love it, a great upgrade from the original.  I've had mine for a couple of years",CG
This pillow saved my back. I love the look and feel of this pillow.,CG
"Missing information on how to use it, but it is a great product for the price!  I",CG
Very nice set. Good quality. We have had the set for two months now and have not been,CG
I WANTED DIFFERENT FLAVORS BUT THEY ARE NOT.,CG
They are the perfect touch for me and the only thing I wish they had a little more space.,CG
These done fit well and look great.  I love the smoothness of the edges and the extra,CG
"Great big numbers & easy to read, the only thing I didn't like is the size of the",CG
My son loves this comforter and it is very well made.  We also have a baby,CG
As advertised. 5th one I've had. The only problem is that it's not really a,CG
Very handy for one of my kids and the tools are included in the package. I have one in,CG
"Did someone say, ""Oriental for $60""?  It is a great product for the",CG
These are so flimsy! They are not the quality you would expect from a piece of furniture.,CG
Makes may tea with out stirring. The only problem is that it's kind of hard to put,CG
Absolutely adorable! And excellent price. We have had the wooden ones for a few months now and they,CG
Love this!  Perfect size for an entire family!Very good quality.,CG
These look beautiful and so nice. The only problem is that it's not really a mesh one.,CG
Exactly what you would expect. I love the look and feel of this pillow.,CG
This fan is really pretty and I actually use it.,OR
"Super rough, not soft wash cloths, more like bar towels",OR
Like this little guy. Use it often. He is small.,OR
Perfect size .easy to unfold. Topremoves for storage. Love this.,OR
Does not do a very good job; difficult to use.,OR
frame was beautifully crafted and looks great with my picture.,OR
My hot cocoa is finally perfect! This product is fabulous,OR
i bought this for a friend and he loves it.,OR
Very soft and great quality for such a low price!,OR
Purchased as a Christmas gift.  She will love it.,OR
"accurate description, works great, came on time, i'm very happy!",OR
Use it in my Duvet cover. Fluffy and perfect fit!,OR
One of the softest blankets ever. So nice and cozy.,OR
"Smells great, and the fine mist dries quickly. My favorite.",OR
Exactly what I was expecting. perfect curtains for my bedroom.,OR
Just what I wanted to hang my pants and skirts.,OR
"It's kind of small, we were looking for something larger.",OR
A little pricey for what it is.,OR
works great & the charge kept up all day long,OR
This is a nice quality frame at a good price,OR
"Does the job, but nothing special. Not hard to install.",OR
Item as described and arrived in a timely manner.,OR
Bought 2 and sent one back because it didn't work,OR
"Made well holds all my make brushes, pencils, mascara etc.",OR
"sheds all over, would not buy it ever again. blanket.",OR
"Works great, it's Pyrex, I'd expect nothing less from them.",OR
"we like this little opener, real easy on my hands.",OR
Perfect. Love everything about them. Look great in my kitchen.,OR
air tight and it works great glad i got it,OR
Very cute and good quality fabric. Zippers worked well too.,OR
These were great to send my grandkids their Halloween treats,OR
Save a ton by using these instead of paper towels!,OR
These are so weak. They barely bring in any air.,OR
"Great set of glasses!  Good quality, comfortable to handle.",OR
It feels cool to the touch but is super hard.,OR
"So cute, made well my grand daughter will love this.",OR
Works as expected for connecting CCTV power supply to cameras.,OR
Very Soft ! Definitely better quality than I was expecting.,OR
Nice and contemporary. Great for the price. Easy to assemble.,OR
Super cute and appears to be great quality! Highly recommend!,OR
These are really cool actually.  My boyfriend loved them.,OR
Bought as a gift for a cousin.  Very nice.,OR
Stopped working after one use still waiting on my refund,OR
cute and reasonably price. I am happy with my purchase.,OR
Well received and comfortable. Gave as gift to dialysis patient.,OR
"do not expected to be so poor on quality ,",OR
Easy to review. The kid DDS love them!  Thanks,OR
"Really ruff under your feet, it feels very sturdy. I will keep my feet in the chair",CG
Order to place special photos on the wall.  We've had it for a couple of weeks and,CG
a nice secondary vacuum for small apartments and reaching tight areas,OR
"Good size, good value for money. Looks great in my bar.",OR
"Somewhat hard to clean, not as convenient as I had hoped.",OR
Works Great with all my battery candles of the same brand.,OR
Ok pillow kind of too hard and firm not very soft,OR
"Perfection. Beyond easy to use, minimal effort, fast and perfect froth.",OR
Love this item. I smile every time I I use it,OR
Fleece blanket is cozy warm. It was exactly what I wanted.,OR
Noticed today top I'd bubbling up where a glass was set,OR
Great for weighing in lbs and oz not grams. Fast shipping.,OR
I clean all my guns and containers and the tools. I also keep my pistols in a small bag,CG
The size of this product is an amazing quality and it is a nice addition to the local store.,CG
"Useless on scratches, applied as intended. The only problem is that it's a little hard to",CG
"Great product!  Multi pack, has the wide brim and two large pockets for my small stuff.",CG
"Great product. I haven't use it yet, but it is good enough.Nice bag for the",CG
Came very quickly. Installed on time. The only problem is that it comes with a small,CG
"Very cheap, quality and price.I love the materials. I will buy more for the price.",CG
I like it a lot better than the regular one. I will keep this for the next one.,CG
This seat is painful to use. The only way to fix it is to just throw a couple of,CG
"pushed 15' flat pretty good, and it feels good on my wrist.",CG
They work. I keep them in my car and they are good enough to hold my keys and my,CG
A must have that works for me.  It is a little heavy for my small size and doesn,CG
Very pleased with case. Well made. The only problem is that it comes with a small screw that,CG
"A bit overpriced at 100% of the price, but I will keep my money.",CG
I took a old heavy duty knife and the knife itself was a nice piece of equipment.,CG
This cover is to good use. The only problem is that it comes with a small screw that is,CG
Good cable and easy to use. The only problem is that it comes with a small screw that is,CG
like the French design but it has the design flaw. I will admit that I have been using this,CG
Built a very portable gravity valve. The only problem is that it's not really a vacuum powered.,CG
Tire looks good but not what it should be.  I will keep my Titan in the store,CG
Fits well and much cheaper than a basic cell phone. I will keep this in the car and,CG
"It's perfect, covers my beach time perfectly, and keeps my water cold.",CG
Already fletched one arrow and it caught the arrow on a small piece of wood.,CG
Make great skinning and gutting.  The only reason I gave it 4 stars is because I,CG
"Ice stays....ice many, many, many...........many more. The only problem is that it",CG
For the price this knife is an amazing deal.  I will keep this knife in my collection.,CG
This bag did not fit my wife and she had to take it off for a couple of hours.,CG
Great product. Boils water and takes the time to drink out of.,CG
Bike shorts are comfortable and are stretchy. The fit is nice and snug.,CG
I ordered this size by mistake but kept them just incase I get a scope they can go on,OR
"Excellent, you retain your mobility while carrying essential gear
in a light weight rig. The Multicam pattern is authentic, THX",OR
"For the price the are ok, the front sight for a low gas block for 20 bucks is great",OR
Orange side shows through a little.  Would not buy again.  Should have bought the single sided version.,OR
Really a good deal and works as advertised.  Easy to use and carry.  Long charge life too.,OR
"This is not 3 pound weights like I thought was being advertised, it's 1.5 lbs each totally 3 pounds.",OR
Great grips! Feel good to the hand and are just tacky enough. Easy to install and they look good.,OR
"Love this sight! Very clear and simple to use! Combined it with the Vortex 3x magnifier, super win combination!",OR
"It looks awesome & comes very sharp on both sides, even finding a double edged hand spear is rare!",OR
